epoch,avg_loss,recall,ndcg
5,1.929742954545102,0.037822604568377334,0.014934291295994105
10,1.2596454084929773,0.04642539305843963,0.017889412552137718
15,0.8607349385649471,0.05532482942746959,0.020962737987236423
20,0.6217096483303328,0.06526253337288639,0.024079846912391942
25,0.46713867101628903,0.06778404034411153,0.02474449970539424
30,0.37449759901580165,0.07282705428656185,0.026720749717331394
35,0.31145919985690357,0.07846336398694749,0.029038922828797664
40,0.2688327113450584,0.07979827944230199,0.0297815372415706
45,0.2383697574674073,0.08276475823197864,0.031284467694235533
50,0.21700685029312716,0.08543458914268763,0.03213488643069303
55,0.19902043170848135,0.08795609611391278,0.03295827337758391
60,0.1874999794161926,0.08632453277959062,0.03211084665573203
65,0.1789671399835813,0.08587956096113913,0.03181030171549948
70,0.16915720865382985,0.08676950459804213,0.03200222519440353
75,0.16340210629721819,0.08706615247700979,0.03191230308752192
80,0.1573865928892362,0.08676950459804213,0.03176873332890178
85,0.1510552755099232,0.08498961732423613,0.03136898422177574
90,0.1489434568053585,0.08543458914268763,0.03178250360120657
95,0.143431399459556,0.08780777217442895,0.03255834290457711
100,0.14163769674250634,0.08587956096113913,0.03219170059681909
105,0.137617138293335,0.08706615247700979,0.03214946104781296
110,0.1340460675626488,0.08854939187184811,0.03281098177353474
115,0.1311819011629638,0.08884603975081579,0.032935998916914906
120,0.12757609121627728,0.0894393355087511,0.0335666024074866
125,0.12573245761253066,0.0894393355087511,0.03357532168601417
130,0.123582350942543,0.09181251854049244,0.033759115744277056
135,0.12078763007865113,0.0925541382379116,0.03411903286381249
140,0.11885653568779007,0.09299911005636309,0.03450048658265446
145,0.1178522060735751,0.09359240581429842,0.0344947709779543
150,0.11473083944391396,0.09507564520913675,0.03507425388469521
