epoch,avg_loss,recall,ndcg
5,1.8922473374059645,0.03722930881044201,0.014729970734074978
10,1.2401327743368633,0.045832097300504304,0.017840039410999296
15,0.8494543584726625,0.05591812518540493,0.021129843292090902
20,0.6134549326310723,0.0643725897359834,0.023958258410633784
25,0.45984296652220064,0.06911895579946603,0.025331663603963592
30,0.3675823633448552,0.07356867398398101,0.026912023777419435
35,0.3056801565117755,0.07846336398694749,0.029014224855011265
40,0.26402206744177864,0.08068822307920498,0.029848204371562034
45,0.23455246209593142,0.08142984277662414,0.030683847383795544
50,0.21428375425985305,0.08558291308217146,0.031777820299146727
55,0.19698999506437173,0.0866211806585583,0.03212609617407087
60,0.18600569766456798,0.08691782853752596,0.03196185132228759
65,0.17788929744797238,0.08558291308217146,0.031560381380149535
70,0.1684160469952276,0.08647285671907445,0.031807986495323716
75,0.16286396096318456,0.08736280035597746,0.031811274645415506
80,0.15715420549198733,0.0866211806585583,0.031806897124015986
85,0.15096529497433517,0.08543458914268763,0.031547661246550285
90,0.1489066052234779,0.08543458914268763,0.03169209733908462
95,0.1434830502307011,0.08691782853752596,0.03223614109499186
100,0.14169168181843678,0.08632453277959062,0.03211149751488455
105,0.13772053991333913,0.08736280035597746,0.032285766707987336
110,0.134237690876096,0.08869771581133194,0.032838818761839535
115,0.13140145733447398,0.08929101156926728,0.03305524113045148
120,0.12784432259909176,0.09062592702462177,0.033762032962397506
125,0.12602619138562074,0.09018095520617028,0.03372149277498376
130,0.12386183295462092,0.0912192227825571,0.03367423099815447
135,0.12110085122413554,0.0934440818748146,0.0342531054389592
140,0.11917990199842696,0.09299911005636309,0.0345678057193838
145,0.1181633528637684,0.09270246217739543,0.03416201978748216
150,0.11506260552648771,0.09537229308810442,0.035024088809564716
