epoch,avg_loss,recall,ndcg
5,0.21881825912769148,0.029515859766277127,0.010904812277248412
10,0.18094447223456944,0.031185308848080132,0.01174743137176374
15,0.15897595931199335,0.03485809682804675,0.013285006382705855
20,0.1418095363088611,0.03706176961602671,0.014398280221375705
25,0.12757138700104084,0.0389983305509182,0.015243270373740106
30,0.12019748108930328,0.041669449081803006,0.01604663824920804
35,0.10986952594525758,0.04387312186978297,0.01701220908347945
40,0.10358589254066247,0.04500834724540902,0.017481650873474777
45,0.09864239416205559,0.04707846410684474,0.018182097093437304
50,0.09487997444004428,0.04868113522537563,0.018763111959914355
55,0.09050949492498117,0.04981636060100167,0.01930288155444576
60,0.08788031872463267,0.05208681135225376,0.019918471926113027
65,0.08491896774594476,0.05248747913188648,0.019916243170453044
70,0.08359213748655352,0.05275459098497496,0.02017704706215751
75,0.0804467891583688,0.05502504173622705,0.02068690829881539
80,0.07830356963004181,0.05569282136894825,0.020907088726381366
85,0.07650089281655494,0.05642737896494157,0.021285620926904326
90,0.07444479463774027,0.05602671118530885,0.02115548253080301
95,0.0731355837090131,0.05662771285475793,0.0211097009029531
100,0.07386248087396427,0.05736227045075125,0.021536374094226873
105,0.07033801476033974,0.057762938230383976,0.021802476126185896
110,0.07003141536700483,0.058230383973288814,0.021786805619893004
115,0.06858730046268628,0.057762938230383976,0.021762895965171964
120,0.06734945323178862,0.058964941569282135,0.021927199706346285
125,0.06620902810119042,0.058631051752921534,0.022032534235250173
130,0.06428120314732802,0.05943238731218698,0.02212468735923984
135,0.06401793162027995,0.06056761268781302,0.022490331173248758
140,0.06321482373984391,0.05989983305509182,0.022172463599621724
145,0.06221904050001279,0.05963272120200334,0.022269966792756474
150,0.061471796334803507,0.059699499165275456,0.02231310862694224
