epoch,avg_loss,recall,ndcg
5,0.21710050410153914,0.03005008347245409,0.011075201500299028
10,0.1789644418955863,0.03185308848080134,0.011910726018837846
15,0.1562539636962065,0.034524207011686146,0.013295530965065062
20,0.1389941301982419,0.03699499165275459,0.014199030013423616
25,0.1250985979932506,0.039065108514190316,0.015108353686480096
30,0.11808708259443036,0.041335559265442405,0.015808114155362145
35,0.10789858492813548,0.04333889816360601,0.016449651703358596
40,0.10169673545070651,0.04440734557595993,0.016821260227644755
45,0.0968511503595276,0.04567612687813022,0.017312214158201233
50,0.0931012415941678,0.04647746243739566,0.017587916911563802
55,0.08884571950097069,0.04868113522537563,0.018291053969294768
60,0.08623313064984724,0.04954924874791319,0.01864412563804246
65,0.0833218940058533,0.04974958263772955,0.018581294776564044
70,0.08205262888349643,0.050350584307178634,0.018877592494072025
75,0.07894012929719625,0.05081803005008347,0.01899402365301605
80,0.0768213386957844,0.052554257095158596,0.019332008989498276
85,0.07515037249849767,0.05395659432387312,0.020025973429526823
90,0.07294125185303744,0.05382303839732888,0.019946205681420644
95,0.0716508349188331,0.05395659432387312,0.020155779538073085
100,0.0723197758577916,0.054424040066777965,0.020147389263992968
105,0.06880864801303464,0.054490818030050084,0.02028906856591495
110,0.06834626472776845,0.054490818030050084,0.02026482216698449
115,0.06700039221620073,0.05636060100166945,0.020806500553145348
120,0.06571579449905121,0.05575959933222037,0.020548064053390196
125,0.06454519097547547,0.05656093489148581,0.02080032233243278
130,0.06262010833261167,0.05749582637729549,0.020928295898220012
135,0.062256030231511515,0.05756260434056761,0.020807856992831705
140,0.06145258336232937,0.05689482470784641,0.020775641381511636
145,0.06045630052178896,0.05589315525876461,0.020446749746488635
150,0.05972075884287455,0.05569282136894825,0.020531128741533164
