epoch,avg_loss,recall,ndcg
5,0.25819397465152255,0.0462770691189558,0.017438962880769
10,0.20698244541378344,0.05250667457727677,0.019948439710974625
15,0.1857156846987999,0.0548798576090181,0.020890716577773107
20,0.1704974334876416,0.055176505487985764,0.02126067324711982
25,0.15815440098107872,0.05903292791456541,0.022743309062069436
30,0.14787366607431637,0.06066449124888757,0.02340819846705439
35,0.13939297338158396,0.06274102640166122,0.023510314678088562
40,0.13198691404471963,0.06496588549391871,0.024394893725486175
45,0.12633281586281322,0.06644912488875704,0.024640086834415032
50,0.12103236239340345,0.06570750519133788,0.02471825664393037
55,0.11583430155859155,0.06822901216256304,0.02519621468085583
60,0.11258478620547359,0.07060219519430436,0.0258840129372099
65,0.10816516935572786,0.07327202610501335,0.026942786542472178
70,0.10577162898192971,0.07460694156036785,0.02735778661182069
75,0.10186462236915604,0.0749035894393355,0.027518685334107354
80,0.09898256447355626,0.077128448531593,0.028676688314103693
85,0.09622586726889772,0.07787006822901216,0.029094667674682016
90,0.0933585276795646,0.078908335805399,0.029176149427983016
95,0.09103945080759161,0.08039157520023732,0.029742973542571778
100,0.08935852948639353,0.08172649065559182,0.030212634057493748
105,0.089707806517007,0.08187481459507565,0.03013691738658971
110,0.08542766617768902,0.08261643429249481,0.030142143389285055
115,0.08428565513784603,0.08172649065559182,0.030295694492528256
120,0.08354122949353719,0.08157816671610799,0.030628673157947504
125,0.081343068378204,0.08276475823197864,0.030697357605649515
130,0.08133361772713014,0.08513794126371997,0.030934079904981582
135,0.07982181776630676,0.08513794126371997,0.031086228805985057
140,0.0784860247019994,0.0866211806585583,0.031344639700755954
145,0.0767246994300414,0.08573123702165529,0.03151675206069996
150,0.07718612904013214,0.08632453277959062,0.031926013556378294
