epoch,avg_loss,recall,ndcg
5,0.24660559637205942,0.6218478815722307,0.30990522818230537
10,0.19775917413798008,0.6255232261357836,0.3146230054537259
15,0.16790652299647804,0.6114854517611026,0.30169377315424195
20,0.14664569939230823,0.6177131189382338,0.30431080085518597
25,0.13086842860166842,0.6181214905564063,0.30644597374675436
30,0.11989084643485783,0.6214905564063298,0.30678487035932434
35,0.10807889769529248,0.615211842776927,0.3034546144734422
40,0.10020557946556218,0.6084226646248085,0.2989944917593666
45,0.09274894244723268,0.6139356814701378,0.3026307460667322
50,0.08581226789853075,0.6058703420112302,0.29597620291734383
55,0.08026319512954125,0.5991322103113833,0.29117524078518003
60,0.07576112508528181,0.5870852475752936,0.2843822650984376
65,0.07033814954479317,0.5988769780500255,0.2952168101058598
70,0.06620558291919283,0.5894844308320571,0.28867750790459934
75,0.06254037103237031,0.5927514037774375,0.29024557513277915
80,0.05942805109361371,0.5897907095456866,0.2878825121609413
85,0.05636634640805014,0.5778968861664114,0.27827068646646125
90,0.054074094559137635,0.5667687595712098,0.2741459986075993
95,0.05083352427643079,0.5724859622256253,0.2774906764910383
100,0.0479988305327984,0.5787136294027565,0.2831279163925268
105,0.04628576671929805,0.5692700357325166,0.27620857610265986
110,0.044165704297004164,0.5597243491577335,0.269617258500877
115,0.04247465033780087,0.5714650331801939,0.2773813463669088
120,0.04058867772775037,0.5625319040326697,0.27256104237744666
125,0.03989100432698871,0.5498723838693211,0.26539570630945186
130,0.037827566788009886,0.5538029606942317,0.2667511929751265
135,0.03633055719291116,0.5405819295558959,0.2590705874386867
140,0.035132013977720186,0.5377743746809597,0.25797315135456367
145,0.03400310465636162,0.5571720265441552,0.2710544351561958
150,0.03215885538976271,0.536447166921899,0.2557255525254102
