epoch,avg_loss,recall,ndcg
5,1.9297429515143572,0.037822604568377334,0.014934291295994105
10,1.2596454095032255,0.04642539305843963,0.017889412552137718
15,0.8607349370495748,0.05532482942746959,0.020962737987236423
20,0.6217096498457052,0.06526253337288639,0.024079846912391942
25,0.46713867025860284,0.06778404034411153,0.02474449970539424
30,0.37449759876323957,0.07282705428656185,0.026720749717331394
35,0.31145919985690357,0.07846336398694749,0.029038922828797664
40,0.26883271248158763,0.07979827944230199,0.0297815372415706
45,0.2383697575936883,0.08276475823197864,0.031284467694235533
50,0.21700685370271489,0.08543458914268763,0.03213488643069303
55,0.19902043132963826,0.08795609611391278,0.03295827337758391
60,0.18749998017387876,0.08632453277959062,0.03211084665573203
65,0.17896714086754847,0.08587956096113913,0.03181030171549948
70,0.16915720991664013,0.08676950459804213,0.03200222519440353
75,0.16340210579209408,0.08706615247700979,0.03191230308752192
80,0.15738659074245873,0.08676950459804213,0.03176873332890178
85,0.1510552775304196,0.08498961732423613,0.03136898422177574
90,0.1489434581944498,0.08543458914268763,0.03178250360120657
95,0.1434313976916216,0.08780777217442895,0.03255834290457711
100,0.1416376969319279,0.08587956096113913,0.03219170059681909
105,0.13761713936672373,0.08706615247700979,0.03214946104781296
110,0.13404606806777292,0.08854939187184811,0.03281098177353474
115,0.13118190122610432,0.08884603975081579,0.032935998916914906
120,0.1275760909005747,0.0894393355087511,0.0335666024074866
125,0.12573245799137375,0.0894393355087511,0.03357532168601417
130,0.12358235113196454,0.09181251854049244,0.033759115744277056
135,0.12078762938410549,0.0925541382379116,0.03411903286381249
140,0.1188565357509306,0.09299911005636309,0.03450048658265446
145,0.11785220613671561,0.09359240581429842,0.0344947709779543
150,0.11473083994903807,0.09507564520913675,0.03507425388469521
