epoch,avg_loss,recall,ndcg
5,0.2647281928082644,0.04345891426876298,0.016424720750501845
10,0.21588990079649426,0.05146840700088994,0.019705468767455193
15,0.19224583951093382,0.0544348857905666,0.02053945257083545
20,0.17637513034929664,0.05532482942746959,0.02084686395244094
25,0.16349606291722443,0.058142984277662416,0.022540697475625027
30,0.15252762881375975,0.060219519430436075,0.02306304701650801
35,0.1431582976069491,0.061257787006822904,0.023282715468184997
40,0.13509977741514223,0.06466923761495105,0.024406148214747927
45,0.1289922395500086,0.06481756155443488,0.02443367392426845
50,0.12332459122447645,0.06541085731237022,0.02475371312480794
55,0.11803155651284476,0.06600415307030555,0.024835458907266673
60,0.11475794225678605,0.0694156036784337,0.025420862180636935
65,0.11022490136704202,0.07089884307327203,0.02595160727853146
70,0.10786519900469457,0.07282705428656185,0.02670284682583052
75,0.10395344315191447,0.0749035894393355,0.027269299230751273
80,0.10092606142920962,0.07638682883417383,0.028021232024177545
85,0.09807389046428568,0.07698012459210916,0.028462309300236268
90,0.09512074904169067,0.07846336398694749,0.02888022854726487
95,0.09270147815094155,0.08053989913972115,0.029431125990686608
100,0.09103328254768404,0.08113319489765648,0.029853565619308207
105,0.09130278185515081,0.08231978641352715,0.030093640505402898
110,0.08693754066855221,0.0821714624740433,0.030164188563614084
115,0.08560241342096006,0.08424799762681696,0.030796097884277993
120,0.08486991306230174,0.08409967368733313,0.030932956542046856
125,0.08258240272180509,0.08246811035301098,0.0304424054886128
130,0.08246237721483586,0.0835063779293978,0.030528731827786235
135,0.0808699136063204,0.0848412933847523,0.03106199788837639
140,0.07957595359470884,0.08647285671907445,0.03152574065006338
145,0.07773754840432587,0.08587956096113913,0.031535693095009976
150,0.07824228533496291,0.08647285671907445,0.03197019102305057
