epoch,avg_loss,recall,ndcg
5,0.24660910191116753,0.6221031138335885,0.30994438413318637
10,0.19778982926528532,0.6250127616130678,0.3145050967237524
15,0.16793714177149993,0.6114344053088311,0.30148275527811874
20,0.14667048632771104,0.6175089331291476,0.30419871762868494
25,0.13089607103349088,0.6185809086268504,0.30676065383330453
30,0.11990522916664134,0.621694742215416,0.30686831281044874
35,0.108107136541998,0.6156712608473711,0.30390328255068505
40,0.10022823070431804,0.6078611536498213,0.2984672024124509
45,0.09276854693070873,0.61368044920878,0.3027403929763772
50,0.08583268879370375,0.6055130168453292,0.29538565554426627
55,0.08027043357327744,0.5990301174068402,0.29147906071144214
60,0.0757493875347651,0.587034201123022,0.28430266076887556
65,0.07030843095956268,0.599540581929556,0.29566863667495613
70,0.06617731140455702,0.5892802450229709,0.2887022396717771
75,0.06250782873849947,0.5919346605410923,0.29005034176539946
80,0.05940658566388455,0.5905053598774885,0.28778209066929095
85,0.05636035264111482,0.5777437468095967,0.2784634475009041
90,0.05405957573144646,0.5675344563552833,0.2743683251371502
95,0.05085288346386873,0.5721796835119959,0.2774433349833286
100,0.04801107640122319,0.5784073506891271,0.2829812052735688
105,0.04628349390331205,0.5692189892802451,0.27562753361003234
110,0.044196484733250115,0.5598264420622767,0.2697003485608602
115,0.042467673462662066,0.5715671260847371,0.27710671943180604
120,0.040596128543736516,0.5622256253190403,0.27246527724863473
125,0.03986642681635343,0.5500765696784073,0.2644648555848109
130,0.037767728309628074,0.5552833078101072,0.26740984645223087
135,0.03633624612056947,0.5405308831036243,0.25894363291003974
140,0.03511597560002254,0.5376722817764166,0.2580740392280401
145,0.03403727482021837,0.5570188871873405,0.2706716414902955
150,0.03214375996082039,0.535732516590097,0.25563573398197853
