epoch,avg_loss,recall,ndcg
5,0.24864970248978155,0.028714524207011687,0.010685308505708393
10,0.2070015770427528,0.032454090150250414,0.012212722621783998
15,0.18158640571850904,0.03485809682804675,0.013705240233557757
20,0.16178341995493895,0.03732888146911519,0.014639230831931511
25,0.14569018852143062,0.04120200333889816,0.015905407724837953
30,0.1370487386981646,0.044273789649415696,0.016962967414616545
35,0.1256134867237336,0.04654424040066778,0.017897234852935436
40,0.118646093131024,0.04707846410684474,0.018234444069913692
45,0.11303787860943347,0.049215358931552586,0.018869175671275103
50,0.108846147880465,0.04968280467445743,0.018951357775057135
55,0.1039431274101949,0.05208681135225376,0.01990832875119066
60,0.10099125391848031,0.052220367278797995,0.020042839896205384
65,0.09779365363271059,0.052554257095158596,0.02000386183358658
70,0.0963669899014794,0.054891485809682804,0.020779041400650185
75,0.09263190479163512,0.05609348914858097,0.021254156491963175
80,0.09022224909898376,0.05622704507512521,0.02132484384958033
85,0.08830643143682253,0.058564273789649415,0.02183116117219738
90,0.08571648406384348,0.05869782971619365,0.02212518411208424
95,0.08425728358379027,0.05876460767946578,0.022084206645860964
100,0.08485358907860152,0.05923205342237062,0.022333028404635052
105,0.08077168660745228,0.05976627712854758,0.022512427891801103
110,0.08004757701134195,0.059365609348914855,0.022402893615269936
115,0.07878995339582566,0.0594991652754591,0.022472416126144153
120,0.07716424480638132,0.06070116861435726,0.022762798886644012
125,0.07576533548888706,0.06143572621035059,0.023081419305120796
130,0.07348115004117595,0.061235392320534224,0.023066952686671402
135,0.07291730737858483,0.06176961602671119,0.02320263516679915
140,0.07189868693081598,0.061168614357262105,0.02282801780817947
145,0.07089957400370821,0.06143572621035059,0.022922040407010312
150,0.06989148570870866,0.061569282136894825,0.023106319332403456
