epoch,avg_loss,recall,ndcg
5,0.21710050374674958,0.03145242070116861,0.011915291020716142
10,0.17896444219969163,0.03252086811352254,0.012458543059093828
15,0.15625396268252206,0.035726210350584306,0.013935554264198196
20,0.13899413080645256,0.03779632721202003,0.014744553687909001
25,0.12509859834804016,0.039465776293823036,0.0154220670784507
30,0.11808708279716726,0.04200333889816361,0.01621074618526421
35,0.10789858515621448,0.04454090150250417,0.017269099608092874
40,0.10169673569145657,0.045876460767946575,0.017779836059736733
45,0.09685115041021182,0.04781302170283806,0.018385005534186583
50,0.09310124182224679,0.04988313856427379,0.01907429090281162
55,0.08884571904481268,0.05028380634390651,0.01945771299895668
60,0.08623313072587357,0.05235392320534224,0.020185326737943172
65,0.08332189395516908,0.05315525876460768,0.02017744619649364
70,0.08205262865541743,0.05395659432387312,0.02060086696763572
75,0.07894012944924893,0.05549248747913189,0.020893278495261937
80,0.07682133857540939,0.05702838063439065,0.021284193184400984
85,0.07515037242247134,0.05829716193656093,0.021758045010432155
90,0.07294125195440589,0.05702838063439065,0.02146130185202401
95,0.07165083467808304,0.058230383973288814,0.021796976240156047
100,0.07231977504684406,0.059031719532554254,0.022071054167745942
105,0.06880864824111364,0.059031719532554254,0.02223083891765731
110,0.06834626470242633,0.05943238731218698,0.022239678715662008
115,0.06700039254564817,0.059365609348914855,0.02237950842761813
120,0.06571579457507754,0.06003338898163606,0.02242666847460953
125,0.0645451905700017,0.05963272120200334,0.02240377386902525
130,0.06262010819006229,0.06056761268781302,0.02263160887404631
135,0.06225603026952468,0.06030050083472454,0.022630638008908584
140,0.061452583210276704,0.0605008347245409,0.022641899643894733
145,0.06045630040774946,0.05976627712854758,0.022515461551762126
150,0.05972075895691405,0.06036727879799666,0.022646305832919586
