epoch,avg_loss,recall,ndcg
5,0.2595487942887565,0.042568970631859986,0.016267042722644467
10,0.20967209856894056,0.051913378819341445,0.019755117512956326
15,0.18602270165742454,0.05562147730643726,0.021153543583799637
20,0.17042468639753633,0.056956392761791756,0.021617268335798558
25,0.15825986937951234,0.05888460397508158,0.022500641943794773
30,0.14840931053889,0.05962622367250074,0.023172253681716496
35,0.1400328983189696,0.06185108276475823,0.02336406192567928
40,0.13252534180627032,0.06392761791753189,0.02430735651560612
45,0.1267262848125676,0.06452091367546722,0.024357294302444963
50,0.1211003602435023,0.0643725897359834,0.02453336297023868
55,0.11591868708699436,0.06733906852566005,0.02517926569653082
60,0.11261766820640887,0.0716404627706912,0.026161813894999355
65,0.10819245224534454,0.07253040640759419,0.02655382198271448
70,0.10570505539239464,0.0749035894393355,0.027325568200721313
75,0.10189411934402029,0.07623850489469,0.02760856244178626
80,0.09900219031309677,0.07831504004746366,0.02857247343567728
85,0.09617572643999327,0.07920498368436665,0.029019456947586064
90,0.09337254013803045,0.08039157520023732,0.029328777154026476
95,0.09115683344208587,0.08380302580836547,0.030377305741027302
100,0.08944914041686866,0.08454464550578464,0.0309631554362049
105,0.08993950353588089,0.08409967368733313,0.030811797370949377
110,0.08558851619393139,0.08306140611094631,0.03051845852535513
115,0.0844628132753453,0.08320973005043014,0.03066266651295121
120,0.08383018056214867,0.08380302580836547,0.030954283006264013
125,0.08155012913679673,0.0835063779293978,0.030803974976590414
130,0.08151324686862654,0.08454464550578464,0.030873024112716436
135,0.07997001890661352,0.0852862652032038,0.03146731429905659
140,0.0786892126424838,0.08765944823494512,0.03211606335484615
145,0.07695736218306978,0.08840106793236428,0.03233997682834671
150,0.07740947654691793,0.08706615247700979,0.03249762927732833
